S/N,Division,Name of Merchant / Hawker stall,Trade of services/goods,Address,Postal Code
1,Ang Mo Kio-Hougang,HOUGANG FRIED OYSTER AND FRIED KWAY TEOW,FOOD & BEVERAGES,BLK 435A HOUGANG AVE 8 #01-01,530435
2,Ang Mo Kio-Hougang,LIM'S PROVISIONS,GROCERY/PROVISION SHOP/MINIMART,BLK 458 HOUGANG AVE 10 #01-K1,530458
3,Ang Mo Kio-Hougang,EMMAR STORE,GROCERY/PROVISION SHOP/MINIMART,BLK 602 HOUGANG AVENUE 4 #01-K1,530602
4,Ang Mo Kio-Hougang,JANANI KASAI SUPER SHOPPERS,GROCERY/PROVISION SHOP/MINIMART,BLK 620 HOUGANG AVE 8 #01-274,530620
5,Ang Mo Kio-Hougang,NH MART PTE LTD,GROCERY/PROVISION SHOP/MINIMART,BLK 620 HOUGANG AVE 8 #01-262,530620
6,Ang Mo Kio-Hougang,P.V. TRUST PTE. LTD,GROCERY/PROVISION SHOP/MINIMART,BLK 620 HOUGANG AVE 8 #01-280,530620
7,Ang Mo Kio-Hougang,GUIDE ME UNISEX HAIR AND BEAUTY SALON,HAIR SALON/BARBER SHOP,BLK 620 HOUGANG AVE 8 #01-272,530620
8,Ang Mo Kio-Hougang,COLD ROCK 624,FOOD & BEVERAGES,BLK 624 HOUGANG AVE 8 #01-K1,530624
9,Ang Mo Kio-Hougang,GUO QIN NOODLE,FOOD & BEVERAGES,BLK 631 HOUGANG AVE 8 #01-06,530631
10,Ang Mo Kio-Hougang,SHENG HAO YU YUAN MIAN,FOOD & BEVERAGES,BLK 631 HOUGANG AVE 8 #01-06,530631
11,Ang Mo Kio-Hougang,LING LI YU TANG SHOU GONG MIAN,FOOD & BEVERAGES,BLK 631 HOUGANG AVE 8,530631
12,Ang Mo Kio-Hougang,瘈嘉玲海南起骨鸡饭,FOOD & BEVERAGES,BLK 631 HOUGANG AVE 8 #01-06,530631
13,Ang Mo Kio-Hougang,CHANG CHENG FOOD PARADISE PTE LTD - CHINESE VEGETABLES RICE,FOOD & BEVERAGES,BLK 631 HOUGANG AVENUE 8 #01-06,530631
14,Ang Mo Kio-Hougang,CHANG CHENG FOOD & BEVERAGE PTE LTD - DRINK STALL,FOOD & BEVERAGES,BLK 631 HOUGANG AVENUE 8 #01-06,530631
15,Ang Mo Kio-Hougang,KUEH,FOOD & BEVERAGES,BLK 644 HOUGANG AVE 8 #01-257,530644
16,Ang Mo Kio-Hougang,ROJAK,FOOD & BEVERAGES,BLK 644 HOUGANG AVE 8 #01-257,530644
17,Ang Mo Kio-Hougang,PANCAKE,FOOD & BEVERAGES,BLK 644 HOUGANG AVE 8 #01-257,530644
18,Ang Mo Kio-Hougang,SEAFOOD,FOOD & BEVERAGES,BLK 644 HOUGANG AVE 8 #01-257,530644
19,Ang Mo Kio-Hougang,MIXED RICE,FOOD & BEVERAGES,BLK 644 HOUGANG AVE 8 #01-257,530644
20,Ang Mo Kio-Hougang,HANDMADE NOODLE,FOOD & BEVERAGES,BLK 644 HOUGANG AVE 8 #01-257,530644
21,Ang Mo Kio-Hougang,WESTERN,FOOD & BEVERAGES,BLK 644 HOUGANG AVE 8 #01-257,530644
22,Ang Mo Kio-Hougang,CHINA DELIGHTS,FOOD & BEVERAGES,BLK 644 HOUGANG AVE 8 #01-257,530644
23,Ang Mo Kio-Hougang,CARROT CAKE/ SATAY,FOOD & BEVERAGES,BLK 644 HOUGANG AVE 8 #01-257,530644
24,Ang Mo Kio-Hougang,FRIED HOKKIEN MEE,FOOD & BEVERAGES,BLK 644 HOUGANG AVE 8 #01-257,530644
25,Ang Mo Kio-Hougang,ROAST DUCK,FOOD & BEVERAGES,BLK 644 HOUGANG AVE 8 #01-257,530644
26,Ang Mo Kio-Hougang,DRINK STALL,FOOD & BEVERAGES,BLK 644 HOUGANG AVE 8 #01-257,530644
27,Ang Mo Kio-Hougang,FISHBALL NOODLE,FOOD & BEVERAGES,BLK 644 HOUGANG AVE 8 #01-257,530644
28,Ang Mo Kio-Hougang,YONG TAU FOO,FOOD & BEVERAGES,BLK 644 HOUGANG AVE 8 #01-257,530644
29,Ang Mo Kio-Hougang,HE JI FA SUPERMART,GROCERY/PROVISION SHOP/MINIMART,BLK 678 HOUGANG AVE 8 #01-517,530678
30,Ang Mo Kio-Hougang,MACO PET CARE SERVICE DELIVERY,OTHERS: PET SHOP,BLK 678 HOUGANG AVE 8 #01-511,530678
31,Ang Mo Kio-Hougang,TIAN DA FOODSTUFFS,WET MARKET,BLK 681 HOUGANG AVE 8 #01-869,530681
32,Ang Mo Kio-Hougang,AL FALAH RESTAURANT PTE LTD,FOOD & BEVERAGES,BLK 681 HOUGANG AVE 8 #01-855,530681
33,Ang Mo Kio-Hougang,HITECH COMPUTER &IT SOLUTIONS,HARDWARE AND REPAIRS SHOP,BLK 681 HOUGANG AVE 8 #01-817,530681
34,Ang Mo Kio-Hougang,ANANDA HOME LLP,GROCERY/PROVISION SHOP/MINIMART,681 HOUGANG AVE 8#01-839,530681
35,Ang Mo Kio-Hougang,RESIDENTS OPTICAL PTE LTD,OTHERS: OPTICAL,681 HOUGANG AVE 8 #01-839,530681
36,Ang Mo Kio-Hougang,CHAN AH BENG TRADING 2007,WET MARKET,681 HOUGANG AVE 8 #01-865,530681
37,Ang Mo Kio-Hougang,DANWELL CAKE,CONFECTIONERY,BLK 681 HOUGANG AVE 8 #01-811,530681
38,Ang Mo Kio-Hougang,BREAD OF TASTE,CONFECTIONERY,681 HOUGANG AVE 8 #01-893,530681
39,Ang Mo Kio-Hougang,BIN ZONG TRADING,HARDWARE AND REPAIRS SHOP,BLK 682 HOUGANG AVE 4,530682
40,Ang Mo Kio-Hougang,CHOICE OPTICAL,OTHERS: OPTICAL,BLK 682 HOUGANG AVE 4 #01-320,530682
41,Ang Mo Kio-Hougang,ENG KHOON DEPARTMENT STORE,OTHERS,BLK 682 HOUGANG AVE 4 #01-1334,530682
42,Ang Mo Kio-Hougang,MENG KEE WANTON NOODLE,FOOD & BEVERAGES,BLK 682 HOUGANG AVE 4 #01-346,530682
43,Ang Mo Kio-Hougang,LIAN HENG HUAT STORE,OTHERS,BLK 682 HOUGANG AVE 4 #01-356,530682
44,Ang Mo Kio-Hougang,MIXED RICE,FOOD & BEVERAGES,BLK 682 HOUGANG AVE 4 #01-300,530682
45,Ang Mo Kio-Hougang,WESTERN FOOD,FOOD & BEVERAGES,BLK 682 HOUGANG AVE 4 #01-300,530682
46,Ang Mo Kio-Hougang,"FISH SOUP, BAN MIAN",FOOD & BEVERAGES,BLK 682 HOUGANG AVE 4 #01-300,530682
